,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
Lars,-33264.32545782384,31687.07437464224,137855.25277963842,5326.466290742501,3612.1992073151446,50434.93843526743,40514.99473763375,17169.88047514015,112712.65585307422,25775.87544353633,0.0,-76963.1122356017,7958.11945582288,-31161.669277872792,83517.09842807734,-30239.34618464135,14859.89955603066,-10447.480091713187
Lasso,-32551.937378603863,31217.170772570542,137832.49816527037,4413.591905771637,3293.6121622104924,50282.58148405604,40477.513586791334,16941.61347377231,112873.0496236426,25495.55401581028,0.0,-76430.00676918044,7840.001873919267,-30419.83688613689,83244.91892093635,-29679.879636161546,14610.923369903086,-9519.151363984753
Randomized_lasso,0.0,0.195,0.75,0.0,0.0,0.94,0.995,0.205,1.0,0.265,0.385,0.71,0.275,0.0,1.0,0.29,0.425,0.0
